Date,Gold
02-January-2015,1186
05-January-2015,1203.900024
06-January-2015,1219.300049
07-January-2015,1210.599976
08-January-2015,1208.400024
09-January-2015,1216
12-January-2015,1232.699951
13-January-2015,1234.300049
14-January-2015,1234.400024
15-January-2015,1264.699951
16-January-2015,1276.900024
20-January-2015,1294.199951
21-January-2015,1293.699951
22-January-2015,1300.699951
23-January-2015,1292.599976
26-January-2015,1279.400024
27-January-2015,1291.699951
28-January-2015,1285.900024
29-January-2015,1254.599976
30-January-2015,1278.5
02-February-2015,1276.199951
03-February-2015,1259.699951
04-February-2015,1263.800049
05-February-2015,1262
06-February-2015,1233.900024
09-February-2015,1240.800049
10-February-2015,1231.599976
11-February-2015,1219
12-February-2015,1220.099976
13-February-2015,1226.5
17-February-2015,1208.099976
18-February-2015,1199.699951
19-February-2015,1207.099976
20-February-2015,1204.400024
23-February-2015,1200.300049
24-February-2015,1196.900024
25-February-2015,1201
26-February-2015,1209.599976
27-February-2015,1212.599976
02-March-2015,1207.699951
03-March-2015,1204
04-March-2015,1200.599976
05-March-2015,1195.900024
06-March-2015,1164.099976
09-March-2015,1166.400024
10-March-2015,1160.099976
11-March-2015,1150.699951
12-March-2015,1152.099976
13-March-2015,1152.599976
16-March-2015,1153.300049
17-March-2015,1148.300049
18-March-2015,1151.400024
19-March-2015,1169.099976
20-March-2015,1184.800049
23-March-2015,1188
24-March-2015,1191.699951
25-March-2015,1197.300049
26-March-2015,1205.099976
27-March-2015,1199.800049
30-March-2015,1184.800049
31-March-2015,1183.099976
01-April-2015,1208.099976
02-April-2015,1200.900024
06-April-2015,1218.599976
07-April-2015,1210.599976
08-April-2015,1203.099976
09-April-2015,1193.599976
10-April-2015,1204.599976
13-April-2015,1199.300049
14-April-2015,1192.800049
15-April-2015,1201.5
16-April-2015,1198
17-April-2015,1202.900024
20-April-2015,1193.5
21-April-2015,1202.900024
22-April-2015,1186.900024
23-April-2015,1194.400024
24-April-2015,1175.199951
27-April-2015,1203.300049
28-April-2015,1214
29-April-2015,1209.800049
30-April-2015,1182.400024
01-May-2015,1174.5
04-May-2015,1186.800049
05-May-2015,1193.199951
06-May-2015,1190.300049
07-May-2015,1182.400024
08-May-2015,1189.099976
11-May-2015,1183.199951
12-May-2015,1192.599976
13-May-2015,1218.400024
14-May-2015,1225.400024
15-May-2015,1225.5
18-May-2015,1227.800049
19-May-2015,1206.900024
20-May-2015,1208.900024
21-May-2015,1204.400024
22-May-2015,1204.300049
26-May-2015,1187.199951
27-May-2015,1185.900024
28-May-2015,1188.099976
29-May-2015,1189.400024
01-June-2015,1188.300049
02-June-2015,1194.099976
03-June-2015,1184.699951
04-June-2015,1174.900024
05-June-2015,1167.800049
08-June-2015,1173.199951
09-June-2015,1177.300049
10-June-2015,1186.099976
11-June-2015,1179.900024
12-June-2015,1178.800049
15-June-2015,1185.300049
16-June-2015,1180.5
17-June-2015,1176.400024
18-June-2015,1201.5
19-June-2015,1201.5
22-June-2015,1183.699951
23-June-2015,1176.199951
24-June-2015,1172.599976
25-June-2015,1171.5
26-June-2015,1172.900024
29-June-2015,1178.5
30-June-2015,1171.5
01-July-2015,1169
02-July-2015,1163
06-July-2015,1172.900024
07-July-2015,1152.400024
08-July-2015,1163.300049
09-July-2015,1159
10-July-2015,1157.699951
13-July-2015,1155.199951
14-July-2015,1153.300049
15-July-2015,1147.199951
16-July-2015,1143.800049
17-July-2015,1131.800049
20-July-2015,1106.699951
21-July-2015,1103.400024
22-July-2015,1091.400024
23-July-2015,1094
24-July-2015,1085.599976
27-July-2015,1096.5
28-July-2015,1096.300049
29-July-2015,1092.699951
30-July-2015,1088.400024
31-July-2015,1094.900024
03-August-2015,1089.400024
04-August-2015,1090.699951
05-August-2015,1085.699951
06-August-2015,1090.199951
07-August-2015,1094.099976
10-August-2015,1104.199951
11-August-2015,1107.599976
12-August-2015,1123.199951
13-August-2015,1115.699951
14-August-2015,1112.900024
17-August-2015,1118.599976
18-August-2015,1117.099976
19-August-2015,1128.099976
20-August-2015,1153
21-August-2015,1159.599976
24-August-2015,1153.400024
25-August-2015,1138.199951
26-August-2015,1124.599976
27-August-2015,1122.400024
28-August-2015,1133.099976
31-August-2015,1131.599976
01-September-2015,1138.699951
02-September-2015,1132.5
03-September-2015,1123.699951
04-September-2015,1120.599976
08-September-2015,1120.400024
09-September-2015,1102.199951
10-September-2015,1109.5
11-September-2015,1103.5
14-September-2015,1107.699951
15-September-2015,1102.800049
16-September-2015,1119.199951
17-September-2015,1117.300049
18-September-2015,1138.099976
21-September-2015,1133.099976
22-September-2015,1125
23-September-2015,1131.599976
24-September-2015,1153.800049
25-September-2015,1146
28-September-2015,1132
29-September-2015,1127.099976
30-September-2015,1115.5
01-October-2015,1114.199951
02-October-2015,1137.099976
05-October-2015,1138.099976
06-October-2015,1146.800049
07-October-2015,1149
08-October-2015,1144.699951
09-October-2015,1156.300049
12-October-2015,1164.900024
13-October-2015,1165.800049
14-October-2015,1180.099976
15-October-2015,1187.900024
16-October-2015,1183.599976
19-October-2015,1173.300049
20-October-2015,1178
21-October-2015,1167.599976
22-October-2015,1166.599976
23-October-2015,1163.300049
26-October-2015,1167
27-October-2015,1166.800049
28-October-2015,1177.099976
29-October-2015,1147.199951
30-October-2015,1141.5
02-November-2015,1135.800049
03-November-2015,1114.199951
04-November-2015,1106.5
05-November-2015,1104.400024
06-November-2015,1087.599976
09-November-2015,1087.900024
10-November-2015,1088.199951
11-November-2015,1084.699951
12-November-2015,1080.800049
13-November-2015,1080.800049
16-November-2015,1083.699951
17-November-2015,1068.699951
18-November-2015,1068.800049
19-November-2015,1078
20-November-2015,1076.400024
23-November-2015,1066.800049
24-November-2015,1074.300049
25-November-2015,1070.5
27-November-2015,1056.199951
30-November-2015,1065.800049
01-December-2015,1063.800049
02-December-2015,1054.199951
03-December-2015,1061.699951
04-December-2015,1084.5
07-December-2015,1076.400024
08-December-2015,1076.300049
09-December-2015,1077.599976
10-December-2015,1073.099976
11-December-2015,1076.900024
14-December-2015,1064.699951
15-December-2015,1062.900024
16-December-2015,1078
17-December-2015,1050.800049
18-December-2015,1066.199951
21-December-2015,1081.900024
22-December-2015,1074.800049
23-December-2015,1069.400024
24-December-2015,1077.199951
28-December-2015,1070.5
29-December-2015,1077.5
30-December-2015,1060.099976
31-December-2015,1060.300049
04-January-2016,1075.099976
05-January-2016,1078.400024
06-January-2016,1091.900024
07-January-2016,1107.699951
08-January-2016,1097.800049
11-January-2016,1096.5
12-January-2016,1085.599976
13-January-2016,1087.5
14-January-2016,1073.900024
15-January-2016,1091.5
19-January-2016,1089.900024
20-January-2016,1107.099976
21-January-2016,1099.099976
22-January-2016,1097.199951
25-January-2016,1106.199951
26-January-2016,1121.699951
27-January-2016,1116.099976
28-January-2016,1115.599976
29-January-2016,1116.400024
01-February-2016,1127.900024
02-February-2016,1127.300049
03-February-2016,1141.300049
04-February-2016,1157.599976
05-February-2016,1157.800049
08-February-2016,1197.900024
09-February-2016,1198.699951
10-February-2016,1194.699951
11-February-2016,1247.900024
12-February-2016,1239.099976
16-February-2016,1207.900024
17-February-2016,1211.099976
18-February-2016,1226.099976
19-February-2016,1230.400024
22-February-2016,1209.5
23-February-2016,1222.300049
24-February-2016,1238.699951
25-February-2016,1238.199951
26-February-2016,1219.800049
29-February-2016,1233.900024
01-March-2016,1230.300049
02-March-2016,1241.099976
03-March-2016,1257.400024
04-March-2016,1269.900024
07-March-2016,1263.199951
08-March-2016,1262.099976
09-March-2016,1256.599976
10-March-2016,1272
11-March-2016,1258.699951
14-March-2016,1244.400024
15-March-2016,1230.400024
16-March-2016,1229.300049
17-March-2016,1264.5
18-March-2016,1253.800049
21-March-2016,1243.800049
22-March-2016,1248.199951
23-March-2016,1223.699951
24-March-2016,1221.400024
28-March-2016,1219.900024
29-March-2016,1235.599976
30-March-2016,1226.900024
31-March-2016,1234.199951
01-April-2016,1222.199951
04-April-2016,1218
05-April-2016,1228.400024
06-April-2016,1222.5
07-April-2016,1236.199951
08-April-2016,1242.5
11-April-2016,1256.699951
12-April-2016,1259.400024
13-April-2016,1246.800049
14-April-2016,1225
15-April-2016,1233.099976
18-April-2016,1233.599976
19-April-2016,1253
20-April-2016,1253.199951
21-April-2016,1249
22-April-2016,1228.699951
25-April-2016,1238.900024
26-April-2016,1242.199951
27-April-2016,1249.199951
28-April-2016,1265.5
29-April-2016,1289.199951
02-May-2016,1294.699951
03-May-2016,1290.699951
04-May-2016,1273.300049
05-May-2016,1271.400024
06-May-2016,1292.900024
09-May-2016,1265.599976
10-May-2016,1263.900024
11-May-2016,1274.599976
12-May-2016,1270.300049
13-May-2016,1271.900024
16-May-2016,1273.400024
17-May-2016,1276.199951
18-May-2016,1273.699951
19-May-2016,1254.199951
20-May-2016,1252.400024
23-May-2016,1251.099976
24-May-2016,1228.900024
25-May-2016,1223.5
26-May-2016,1220.099976
27-May-2016,1213.800049
31-May-2016,1214.800049
01-June-2016,1211.900024
02-June-2016,1209.800049
03-June-2016,1240.099976
06-June-2016,1244.599976
07-June-2016,1244.400024
08-June-2016,1259.800049
09-June-2016,1270.199951
10-June-2016,1273.400024
13-June-2016,1284.400024
14-June-2016,1285.599976
15-June-2016,1285.800049
16-June-2016,1296.099976
17-June-2016,1292.5
20-June-2016,1290
21-June-2016,1270.5
22-June-2016,1268
23-June-2016,1261.199951
24-June-2016,1320
27-June-2016,1322.5
28-June-2016,1315.300049
29-June-2016,1323.900024
30-June-2016,1318.400024
01-July-2016,1336.699951
05-July-2016,1356.400024
06-July-2016,1364.900024
07-July-2016,1360.099976
08-July-2016,1356.599976
11-July-2016,1355
12-July-2016,1334.099976
13-July-2016,1342.400024
14-July-2016,1331.300049
15-July-2016,1326.5
18-July-2016,1328.400024
19-July-2016,1331.5
20-July-2016,1318.800049
21-July-2016,1330.5
22-July-2016,1323.099976
25-July-2016,1319.300049
26-July-2016,1320.699951
27-July-2016,1326.599976
28-July-2016,1332.300049
29-July-2016,1349
01-August-2016,1351.400024
02-August-2016,1364.400024
03-August-2016,1356.099976
04-August-2016,1358.800049
05-August-2016,1336.400024
08-August-2016,1333.400024
09-August-2016,1339
10-August-2016,1344.300049
11-August-2016,1342.5
12-August-2016,1335.800049
15-August-2016,1340.300049
16-August-2016,1350.5
17-August-2016,1342.699951
18-August-2016,1351.199951
19-August-2016,1340.400024
22-August-2016,1337.699951
23-August-2016,1340.599976
24-August-2016,1324.400024
25-August-2016,1320.099976
26-August-2016,1321.5
29-August-2016,1322.900024
30-August-2016,1311.699951
31-August-2016,1306.900024
01-September-2016,1312.199951
02-September-2016,1322.099976
06-September-2016,1349.400024
07-September-2016,1344.300049
08-September-2016,1336.800049
09-September-2016,1330.099976
12-September-2016,1321
13-September-2016,1319
14-September-2016,1321.5
15-September-2016,1313.5
16-September-2016,1305.800049
19-September-2016,1313.5
20-September-2016,1313.699951
21-September-2016,1326.900024
22-September-2016,1340.400024
23-September-2016,1337.199951
26-September-2016,1339.699951
27-September-2016,1325.900024
28-September-2016,1319.400024
29-September-2016,1321.699951
30-September-2016,1313.300049
03-October-2016,1309
04-October-2016,1266.300049
05-October-2016,1265.199951
06-October-2016,1249.800049
07-October-2016,1248.900024
11-October-2016,1253
12-October-2016,1251.099976
13-October-2016,1255
14-October-2016,1253.099976
17-October-2016,1254.400024
18-October-2016,1260.800049
19-October-2016,1267.900024
20-October-2016,1265.599976
21-October-2016,1265.900024
24-October-2016,1262
25-October-2016,1271.900024
26-October-2016,1264.800049
27-October-2016,1267.900024
28-October-2016,1275.5
31-October-2016,1271.5
01-November-2016,1286.400024
02-November-2016,1306.800049
03-November-2016,1302.099976
04-November-2016,1303.300049
07-November-2016,1278.300049
08-November-2016,1273.400024
09-November-2016,1272.599976
10-November-2016,1265.5
14-November-2016,1221.199951
15-November-2016,1224
16-November-2016,1223.400024
17-November-2016,1216.5
18-November-2016,1208.5
21-November-2016,1209.599976
22-November-2016,1211
23-November-2016,1189.099976
25-November-2016,1178.199951
28-November-2016,1190.599976
29-November-2016,1187.900024
30-November-2016,1170.800049
01-December-2016,1166.900024
02-December-2016,1175.099976
05-December-2016,1174
06-December-2016,1167.599976
07-December-2016,1175
08-December-2016,1169.800049
09-December-2016,1159.400024
12-December-2016,1163.5
13-December-2016,1156.699951
14-December-2016,1161.300049
15-December-2016,1127.800049
16-December-2016,1135.300049
19-December-2016,1140.5
20-December-2016,1131.5
21-December-2016,1131.099976
22-December-2016,1128.800049
23-December-2016,1131.900024
27-December-2016,1137.300049
28-December-2016,1139.400024
29-December-2016,1156.400024
30-December-2016,1150
03-January-2017,1160.400024
04-January-2017,1163.800049
05-January-2017,1179.699951
06-January-2017,1171.900024
09-January-2017,1183.5
10-January-2017,1184.199951
11-January-2017,1195.599976
12-January-2017,1198.900024
13-January-2017,1195.300049
17-January-2017,1212
18-January-2017,1211.300049
19-January-2017,1200.900024
20-January-2017,1204.300049
23-January-2017,1215
24-January-2017,1210.300049
25-January-2017,1197.300049
26-January-2017,1189.5
27-January-2017,1188.099976
30-January-2017,1193.199951
31-January-2017,1208.599976
01-February-2017,1205.599976
02-February-2017,1216.699951
03-February-2017,1218.5
06-February-2017,1230
07-February-2017,1234.199951
08-February-2017,1237.599976
09-February-2017,1235.099976
10-February-2017,1234.400024
13-February-2017,1224.400024
14-February-2017,1223.900024
15-February-2017,1231.699951
16-February-2017,1240
17-February-2017,1237.599976
21-February-2017,1237.5
22-February-2017,1232
23-February-2017,1250.199951
24-February-2017,1256.900024
27-February-2017,1257.400024
28-February-2017,1252.599976
01-March-2017,1248.900024
02-March-2017,1231.900024
03-March-2017,1225.5
06-March-2017,1224.5
07-March-2017,1215.099976
08-March-2017,1208.5
09-March-2017,1202.400024
10-March-2017,1200.699951
13-March-2017,1202.400024
14-March-2017,1201.900024
15-March-2017,1200.099976
16-March-2017,1226.5
17-March-2017,1229.800049
20-March-2017,1233.599976
21-March-2017,1246.099976
22-March-2017,1249.300049
23-March-2017,1246.900024
24-March-2017,1248.199951
27-March-2017,1255.400024
28-March-2017,1255.300049
29-March-2017,1253.400024
30-March-2017,1245
31-March-2017,1247.300049
03-April-2017,1250.800049
04-April-2017,1255
05-April-2017,1245.400024
06-April-2017,1250.300049
07-April-2017,1254.300049
10-April-2017,1251.099976
11-April-2017,1271.199951
12-April-2017,1275.300049
13-April-2017,1285.900024
17-April-2017,1289.400024
18-April-2017,1291.699951
19-April-2017,1281.400024
20-April-2017,1281.900024
21-April-2017,1287.400024
24-April-2017,1275.800049
25-April-2017,1265.599976
26-April-2017,1262.099976
27-April-2017,1263.699951
28-April-2017,1266.099976
01-May-2017,1253.300049
02-May-2017,1255.099976
03-May-2017,1246.400024
04-May-2017,1226.5
05-May-2017,1224.800049
08-May-2017,1225.300049
09-May-2017,1214.300049
10-May-2017,1217.300049
11-May-2017,1222.699951
12-May-2017,1226.199951
15-May-2017,1228.599976
16-May-2017,1235
17-May-2017,1257.5
18-May-2017,1251.699951
19-May-2017,1252.699951
22-May-2017,1260.699951
23-May-2017,1254.800049
24-May-2017,1252.400024
25-May-2017,1255.800049
26-May-2017,1267.599976
30-May-2017,1262.099976
31-May-2017,1272
01-June-2017,1267
02-June-2017,1276.800049
05-June-2017,1279.300049
06-June-2017,1294.400024
07-June-2017,1290.099976
08-June-2017,1276.300049
09-June-2017,1268.5
12-June-2017,1266.099976
13-June-2017,1265.800049
14-June-2017,1272.800049
15-June-2017,1252.199951
16-June-2017,1254
19-June-2017,1244.199951
20-June-2017,1241
21-June-2017,1243.400024
22-June-2017,1247.599976
23-June-2017,1256.199951
26-June-2017,1246.300049
27-June-2017,1246.400024
28-June-2017,1248
29-June-2017,1244.199951
30-June-2017,1240.699951
03-July-2017,1217.900024
05-July-2017,1220.400024
06-July-2017,1222.199951
07-July-2017,1208.599976
10-July-2017,1212.099976
11-July-2017,1213.599976
12-July-2017,1218.099976
13-July-2017,1216.300049
14-July-2017,1226.599976
17-July-2017,1232.800049
18-July-2017,1241.099976
19-July-2017,1241.199951
20-July-2017,1244.800049
21-July-2017,1254.300049
24-July-2017,1253.900024
25-July-2017,1251.699951
26-July-2017,1249
27-July-2017,1259.599976
28-July-2017,1268.400024
31-July-2017,1266.599976
01-August-2017,1272.599976
02-August-2017,1271.800049
03-August-2017,1267.800049
04-August-2017,1258.300049
07-August-2017,1258.199951
08-August-2017,1256.400024
09-August-2017,1273
10-August-2017,1283.699951
11-August-2017,1287.699951
14-August-2017,1284.199951
15-August-2017,1273.699951
16-August-2017,1276.900024
17-August-2017,1286.400024
18-August-2017,1285.699951
21-August-2017,1290.800049
22-August-2017,1285.099976
23-August-2017,1288.900024
24-August-2017,1286.5
25-August-2017,1292.5
28-August-2017,1309.699951
29-August-2017,1313.099976
30-August-2017,1308.099976
31-August-2017,1316.199951
01-September-2017,1324.5
05-September-2017,1339.199951
06-September-2017,1333.900024
07-September-2017,1345.099976
08-September-2017,1346
11-September-2017,1331
12-September-2017,1328
13-September-2017,1323.400024
14-September-2017,1324.699951
15-September-2017,1320.400024
18-September-2017,1306.300049
19-September-2017,1306.199951
20-September-2017,1312
21-September-2017,1290.599976
22-September-2017,1293.300049
25-September-2017,1306.800049
26-September-2017,1297
27-September-2017,1283.400024
28-September-2017,1285.5
29-September-2017,1281.5
02-October-2017,1272.699951
03-October-2017,1271.5
04-October-2017,1273.699951
05-October-2017,1269.900024
06-October-2017,1271.599976
09-October-2017,1281.800049
10-October-2017,1290.599976
11-October-2017,1285.800049
12-October-2017,1293.300049
13-October-2017,1301.5
16-October-2017,1299.900024
17-October-2017,1283
18-October-2017,1279.900024
19-October-2017,1286.900024
20-October-2017,1277.400024
23-October-2017,1277.699951
24-October-2017,1275
25-October-2017,1275.400024
26-October-2017,1266.300049
27-October-2017,1268.5
30-October-2017,1274.099976
31-October-2017,1267
01-November-2017,1274.099976
02-November-2017,1274.900024
03-November-2017,1266.5
06-November-2017,1279.400024
07-November-2017,1273.699951
08-November-2017,1281.599976
09-November-2017,1285.599976
10-November-2017,1272.400024
13-November-2017,1277.300049
14-November-2017,1281.5
15-November-2017,1276.5
16-November-2017,1277.400024
17-November-2017,1295.800049
20-November-2017,1274.599976
21-November-2017,1281.099976
22-November-2017,1291.599976
24-November-2017,1286.699951
27-November-2017,1293.800049
28-November-2017,1294.699951
29-November-2017,1282.099976
30-November-2017,1273.199951
01-December-2017,1278.800049
04-December-2017,1274.300049
05-December-2017,1261.599976
06-December-2017,1262.800049
07-December-2017,1249.800049
08-December-2017,1245.199951
11-December-2017,1243.699951
12-December-2017,1238.5
13-December-2017,1245.400024
14-December-2017,1253.800049
15-December-2017,1254.300049
18-December-2017,1262.199951
19-December-2017,1260.699951
20-December-2017,1266.099976
21-December-2017,1267.300049
22-December-2017,1275.400024
26-December-2017,1284.099976
27-December-2017,1287
28-December-2017,1294.099976
29-December-2017,1306.300049
02-January-2018,1313.699951
03-January-2018,1316.199951
04-January-2018,1319.400024
05-January-2018,1320.300049
08-January-2018,1318.599976
09-January-2018,1311.699951
10-January-2018,1317.400024
11-January-2018,1320.599976
12-January-2018,1333.400024
16-January-2018,1335.400024
17-January-2018,1338
18-January-2018,1326
19-January-2018,1331.900024
22-January-2018,1330.900024
23-January-2018,1335.699951
24-January-2018,1355.900024
25-January-2018,1362.400024
26-January-2018,1351.599976
30-January-2018,1335.400024
31-January-2018,1339
01-February-2018,1344.300049
02-February-2018,1333.699951
05-February-2018,1333
06-February-2018,1326.099976
07-February-2018,1311.599976
08-February-2018,1316.900024
09-February-2018,1313.099976
12-February-2018,1324.199951
13-February-2018,1328.099976
14-February-2018,1355.5
15-February-2018,1352.099976
16-February-2018,1353.199951
20-February-2018,1328.800049
21-February-2018,1330
22-February-2018,1330.599976
23-February-2018,1328.199951
26-February-2018,1330.699951
27-February-2018,1315.5
28-February-2018,1315.5
01-March-2018,1302.900024
02-March-2018,1321.099976
05-March-2018,1318.099976
06-March-2018,1333.599976
07-March-2018,1326
08-March-2018,1319.900024
09-March-2018,1322.400024
12-March-2018,1319.400024
13-March-2018,1325.900024
14-March-2018,1324.400024
15-March-2018,1316.800049
16-March-2018,1311.300049
19-March-2018,1316.800049
20-March-2018,1311.099976
21-March-2018,1320.699951
22-March-2018,1326.599976
23-March-2018,1349.300049
26-March-2018,1354.400024
27-March-2018,1341.300049
28-March-2018,1324.199951
29-March-2018,1322.800049
02-April-2018,1342.099976
03-April-2018,1332.800049
04-April-2018,1335.800049
05-April-2018,1324.300049
06-April-2018,1331.900024
09-April-2018,1336.300049
10-April-2018,1342
11-April-2018,1356.5
12-April-2018,1338.400024
13-April-2018,1344.800049
16-April-2018,1347.5
17-April-2018,1347.199951
18-April-2018,1351.199951
19-April-2018,1346.800049
20-April-2018,1336.699951
23-April-2018,1322.5
24-April-2018,1331.400024
25-April-2018,1321.199951
26-April-2018,1316.300049
27-April-2018,1320.300049
30-April-2018,1316.199951
01-May-2018,1303.800049
02-May-2018,1302.599976
03-May-2018,1310.699951
04-May-2018,1312.699951
07-May-2018,1312.199951
08-May-2018,1312
09-May-2018,1311.300049
10-May-2018,1320.800049
11-May-2018,1319
14-May-2018,1316.5
15-May-2018,1288.900024
16-May-2018,1290.199951
17-May-2018,1288.199951
18-May-2018,1290.199951
