Date,Open,High,Low,Close,Volume
01-January-2018,231.6660004,236.6340027,222.2030029,229.0330048,633142016
02-January-2018,228.9900055,263.625,228.9900055,255.6840057,1237949952
03-January-2018,255.6950073,260.7420044,243.1349945,245.3679962,3215280128
04-January-2018,245.4750061,245.4750061,227.0130005,241.3699951,3481550080
05-January-2018,241.0339966,256.1480103,237.8800049,249.2709961,1710599936
06-January-2018,249.7680054,323.1149902,249.4149933,296.45401,2264740096
07-January-2018,296.053009,305.5270081,281.927002,288.4509888,1055400000
08-January-2018,287.7250061,289.0690002,237.6649933,255.7630005,1182080000
09-January-2018,254.6060028,258.5029907,240.1840057,247.0370026,940825024
10-January-2018,248.072998,251.0540009,233.8589935,250.5180054,1009910016
11-January-2018,251.5220032,255.0480042,223.003006,229.3659973,1079389952
12-January-2018,229.7870026,243.5919952,224.8209991,236.8560028,691160000
13-January-2018,236.8820038,263.1950073,236.8820038,259.1929932,961043008
14-January-2018,260.57901,270.8519897,234.2720032,238.6750031,886414976
15-January-2018,237.2890015,245.0039978,232.7740021,232.7740021,601769984
16-January-2018,232.8170013,232.8170013,152.2929993,188.3309937,1405069952
17-January-2018,190.1450043,197.7899933,141.0070038,186.5160065,1422489984
18-January-2018,186.9490051,207.0160065,176.8300018,192.8370056,936784000
19-January-2018,191.1920013,202.0749969,186.9380035,192.9640045,560284032
20-January-2018,194.378006,214.5879974,194.378006,211.0180054,540785984
21-January-2018,211.2350006,211.2350006,184.6360016,190.4210052,463516000
22-January-2018,191.7899933,195.2460022,166.8829956,180.0079956,494091008
23-January-2018,180.279007,186.3059998,165.7259979,177.8070068,441764992
24-January-2018,178.4250031,186.279007,173.7189941,179.9869995,375948992
25-January-2018,181.5630035,185.4230042,176.348999,180.2720032,363137984
26-January-2018,179.8190002,182.8919983,167.0839996,176.7339935,375476992
27-January-2018,176.6609955,183.154007,174.8789978,180.8860016,291632992
28-January-2018,181.4210052,194.6790009,181.4210052,193.8650055,363515008
29-January-2018,193.7510071,194.3860016,179.2319946,181.6640015,303560992
30-January-2018,181.4450073,181.5180054,163.0339966,165.276001,433227008
31-January-2018,165.2960052,167.0679932,157.6450043,163.3509979,363292992
01-February-2018,163.6820068,165.8139954,131.5480042,142.2969971,539880000
02-February-2018,142.5619965,142.5619965,105.3460007,131.3789978,815539968
03-February-2018,131.401001,165.5549927,121.1660004,160.25,687676032
04-February-2018,160.3809967,173.7960052,139.6940002,148.0249939,1006080000
05-February-2018,148.727005,153.5240021,118.1470032,125.3300018,844678016
06-February-2018,127.5210037,146.1139984,106.9440002,142.9909973,1148409984
07-February-2018,142.4819946,157.897995,131.5240021,138.2030029,817808000
08-February-2018,138.3359985,151.0809937,138.3359985,149.4660034,869206976
09-February-2018,149.7299957,163.9799957,142.5859985,163.9499969,722204992
10-February-2018,163.4880066,169.3289948,149.1439972,155.5930023,576328000
11-February-2018,155.3919983,155.7310028,142.6109924,148.9900055,495720000
12-February-2018,150.1040039,163.3480072,150.1040039,161.5659943,535710016
13-February-2018,161.7749939,162.3739929,153.5110016,159.5540009,483468000
14-February-2018,159.5789948,218.2310028,159.5789948,213.3589935,2383340032
15-February-2018,212.3470001,237.8769989,211.173996,225.4259949,2087289984
16-February-2018,225.5,236.0879974,212.3289948,230.1239929,1300089984
17-February-2018,229.5019989,233.451004,225.6029968,229.4649963,863401024
18-February-2018,230.5090027,232.6439972,214.4579926,215.7359924,1011120000
19-February-2018,215.4149933,226.9669952,215.3769989,223.0570068,767596992
20-February-2018,223.0870056,253.897995,222.5070038,232.8509979,1739670016
21-February-2018,230.947998,235.4100037,208.9250031,213.352005,1195820032
22-February-2018,212.8410034,222.7680054,191.8099976,195.3079987,974379008
