Date,S&P500
02-January-2015,2058.199951
05-January-2015,2020.579956
06-January-2015,2002.609985
07-January-2015,2025.900024
08-January-2015,2062.139893
09-January-2015,2044.810059
12-January-2015,2028.26001
13-January-2015,2023.030029
14-January-2015,2011.27002
15-January-2015,1992.670044
16-January-2015,2019.420044
20-January-2015,2022.550049
21-January-2015,2032.119995
22-January-2015,2063.149902
23-January-2015,2051.820068
26-January-2015,2057.090088
27-January-2015,2029.550049
28-January-2015,2002.160034
29-January-2015,2021.25
30-January-2015,1994.98999
02-February-2015,2020.849976
03-February-2015,2050.030029
04-February-2015,2041.51001
05-February-2015,2062.52002
06-February-2015,2055.469971
09-February-2015,2046.73999
10-February-2015,2068.590088
11-February-2015,2068.530029
12-February-2015,2088.47998
13-February-2015,2096.98999
17-February-2015,2100.340088
18-February-2015,2099.679932
19-February-2015,2097.449951
20-February-2015,2110.300049
23-February-2015,2109.659912
24-February-2015,2115.47998
25-February-2015,2113.860107
26-February-2015,2110.73999
27-February-2015,2104.5
02-March-2015,2117.389893
03-March-2015,2107.780029
04-March-2015,2098.530029
05-March-2015,2101.040039
06-March-2015,2071.26001
09-March-2015,2079.429932
10-March-2015,2044.160034
11-March-2015,2040.23999
12-March-2015,2065.949951
13-March-2015,2053.399902
16-March-2015,2081.189941
17-March-2015,2074.280029
18-March-2015,2099.5
19-March-2015,2089.27002
20-March-2015,2108.100098
23-March-2015,2104.419922
24-March-2015,2091.5
25-March-2015,2061.050049
26-March-2015,2056.149902
27-March-2015,2061.02002
30-March-2015,2086.23999
31-March-2015,2067.889893
01-April-2015,2059.689941
02-April-2015,2066.959961
06-April-2015,2080.620117
07-April-2015,2076.330078
08-April-2015,2081.899902
09-April-2015,2091.179932
10-April-2015,2102.060059
13-April-2015,2092.429932
14-April-2015,2095.840088
15-April-2015,2106.629883
16-April-2015,2104.98999
17-April-2015,2081.179932
20-April-2015,2100.399902
21-April-2015,2097.290039
22-April-2015,2107.959961
23-April-2015,2112.929932
24-April-2015,2117.689941
27-April-2015,2108.919922
28-April-2015,2114.76001
29-April-2015,2106.850098
30-April-2015,2085.51001
01-May-2015,2108.290039
04-May-2015,2114.48999
05-May-2015,2089.459961
06-May-2015,2080.149902
07-May-2015,2088
08-May-2015,2116.100098
11-May-2015,2105.330078
12-May-2015,2099.120117
13-May-2015,2098.47998
14-May-2015,2121.100098
15-May-2015,2122.72998
18-May-2015,2129.199951
19-May-2015,2127.830078
20-May-2015,2125.850098
21-May-2015,2130.820068
22-May-2015,2126.060059
26-May-2015,2104.199951
27-May-2015,2123.47998
28-May-2015,2120.790039
29-May-2015,2107.389893
01-June-2015,2111.72998
02-June-2015,2109.600098
03-June-2015,2114.070068
04-June-2015,2095.840088
05-June-2015,2092.830078
08-June-2015,2079.280029
09-June-2015,2080.149902
10-June-2015,2105.199951
11-June-2015,2108.860107
12-June-2015,2094.110107
15-June-2015,2084.429932
16-June-2015,2096.290039
17-June-2015,2100.439941
18-June-2015,2121.23999
19-June-2015,2109.98999
22-June-2015,2122.850098
23-June-2015,2124.199951
24-June-2015,2108.580078
25-June-2015,2102.310059
26-June-2015,2101.48999
29-June-2015,2057.639893
30-June-2015,2063.110107
01-July-2015,2077.419922
02-July-2015,2076.780029
06-July-2015,2068.76001
07-July-2015,2081.340088
08-July-2015,2046.680054
09-July-2015,2051.310059
10-July-2015,2076.620117
13-July-2015,2099.600098
14-July-2015,2108.949951
15-July-2015,2107.399902
16-July-2015,2124.290039
17-July-2015,2126.639893
20-July-2015,2128.280029
21-July-2015,2119.209961
22-July-2015,2114.149902
23-July-2015,2102.149902
24-July-2015,2079.649902
27-July-2015,2067.639893
28-July-2015,2093.25
29-July-2015,2108.570068
30-July-2015,2108.629883
31-July-2015,2103.840088
03-August-2015,2098.040039
04-August-2015,2093.320068
05-August-2015,2099.840088
06-August-2015,2083.560059
07-August-2015,2077.570068
10-August-2015,2104.179932
11-August-2015,2084.070068
12-August-2015,2086.050049
13-August-2015,2083.389893
14-August-2015,2091.540039
17-August-2015,2102.439941
18-August-2015,2096.919922
19-August-2015,2079.610107
