Date,WTI,MSCI,Gold,S&P500,USDX
2-Jan-15,52.68999863,47.68999863,1186,2058.199951,91.08000183
5-Jan-15,50.04000092,47.24000168,1203.900024,2020.579956,91.37999725
6-Jan-15,47.93000031,48.61000061,1219.300049,2002.609985,91.5
7-Jan-15,48.65000153,49.72000122,1210.599976,2025.900024,91.88999939
8-Jan-15,48.79000092,51.22000122,1208.400024,2062.139893,92.37000275
9-Jan-15,48.36000061,51.97000122,1216,2044.810059,91.94000244
12-Jan-15,46.06999969,51.93999863,1232.699951,2028.26001,91.98000336
13-Jan-15,45.88999939,54.04999924,1234.300049,2023.030029,92.30999756
14-Jan-15,48.47999954,53.70000076,1234.400024,2011.27002,92.16000366
15-Jan-15,46.25,52.90000153,1264.699951,1992.670044,92.34999847
16-Jan-15,48.68999863,54.06000137,1276.900024,2019.420044,92.51999664
20-Jan-15,46.38999939,53.70000076,1294.199951,2022.550049,93.05000305
21-Jan-15,47.77999878,53.56999969,1293.699951,2032.119995,92.90000153
22-Jan-15,46.31000137,54.36999893,1300.699951,2063.149902,94.23999786
23-Jan-15,45.59000015,54.22000122,1292.599976,2051.820068,95
26-Jan-15,45.15000153,54.54999924,1279.400024,2057.090088,94.80000305
27-Jan-15,46.22999954,54.27999878,1291.699951,2029.550049,94.01999664
28-Jan-15,44.45000076,53.88999939,1285.900024,2002.160034,94.47000122
29-Jan-15,44.52999878,54.5,1254.599976,2021.25,94.77999878
30-Jan-15,48.24000168,53.81999969,1278.5,1994.98999,94.80000305
2-Feb-15,49.56999969,54.36000061,1276.199951,2020.849976,94.5
3-Feb-15,53.04999924,54.83000183,1259.699951,2050.030029,93.59999847
4-Feb-15,48.45000076,55.13000107,1263.800049,2041.51001,93.98999786
5-Feb-15,50.47999954,55.5,1262,2062.52002,94.69999695
6-Feb-15,51.68999863,56.02999878,1233.900024,2055.469971,94.69999695
9-Feb-15,52.86000061,56.90999985,1240.800049,2046.73999,94.44999695
10-Feb-15,50.02000046,56.97999954,1231.599976,2068.590088,94.76000214
11-Feb-15,48.84000015,56.58000183,1219,2068.530029,94.98999786
12-Feb-15,51.20999908,57.20000076,1220.099976,2088.47998,94.08999634
13-Feb-15,52.77999878,57.20000076,1226.5,2096.98999,94.19999695
17-Feb-15,53.52999878,57.34999847,1208.099976,2100.340088,94.05999756
18-Feb-15,52.13999939,57.31999969,1199.699951,2099.679932,94.19999695
19-Feb-15,51.15999985,57.79999924,1207.099976,2097.449951,94.40000153
20-Feb-15,50.34000015,58.02999878,1204.400024,2110.300049,94.25
23-Feb-15,49.45000076,57.61000061,1200.300049,2109.659912,94.56999969
24-Feb-15,49.27999878,57.65000153,1196.900024,2115.47998,94.48999786
25-Feb-15,50.99000168,57.22999954,1201,2113.860107,94.20999908
26-Feb-15,48.16999817,56.79000092,1209.599976,2110.73999,95.29000092
27-Feb-15,49.75999832,56.11000061,1212.599976,2104.5,95.25
2-Mar-15,49.59000015,57.56999969,1207.699951,2117.389893,95.45999908
3-Mar-15,50.52000046,57.31999969,1204,2107.780029,95.37999725
4-Mar-15,51.52999878,56.77999878,1200.599976,2098.530029,95.97000122
5-Mar-15,50.75999832,55.40000153,1195.900024,2101.040039,96.37999725
6-Mar-15,49.61000061,55.45000076,1164.099976,2071.26001,97.62000275
9-Mar-15,50,55.65999985,1166.400024,2079.429932,97.58999634
10-Mar-15,48.29000092,54.72000122,1160.099976,2044.160034,98.62000275
11-Mar-15,48.16999817,55.83000183,1150.699951,2040.23999,99.80000305
12-Mar-15,47.04999924,57.18000031,1152.099976,2065.949951,99.15000153
13-Mar-15,44.84000015,56.74000168,1152.599976,2053.399902,100.3300018
16-Mar-15,43.88000107,57.90000153,1153.300049,2081.189941,99.59999847
17-Mar-15,43.45999908,58.40999985,1148.300049,2074.280029,99.58999634
18-Mar-15,44.65999985,58.70000076,1151.400024,2099.5,98.55000305
19-Mar-15,43.95999908,58.61999893,1169.099976,2089.27002,99.09999847
20-Mar-15,45.72000122,59.68999863,1184.800049,2108.100098,97.91000366
23-Mar-15,47.45000076,60.18000031,1188,2104.419922,97.02999878
24-Mar-15,47.50999832,59.77999878,1191.699951,2091.5,97.19000244
25-Mar-15,49.20999908,59.31999969,1197.300049,2061.050049,96.98000336
26-Mar-15,51.43000031,59.81999969,1205.099976,2056.149902,97.44000244
27-Mar-15,48.86999893,59.58000183,1199.800049,2061.02002,97.29000092
30-Mar-15,48.68000031,60.91999817,1184.800049,2086.23999,97.98000336
31-Mar-15,47.59999847,61.31000137,1183.099976,2067.889893,98.36000061
1-Apr-15,50.09000015,61.04000092,1208.099976,2059.689941,98.19000244
2-Apr-15,49.13999939,61.50999832,1200.900024,2066.959961,97.44000244
6-Apr-15,52.13999939,62.11999893,1218.599976,2080.620117,97.11000061
7-Apr-15,53.97999954,61.27999878,1210.599976,2076.330078,97.83000183
8-Apr-15,50.41999817,61.83000183,1203.099976,2081.899902,98.06999969
9-Apr-15,50.79000092,60.75,1193.599976,2091.179932,99.16000366
10-Apr-15,51.63999939,60.59999847,1204.599976,2102.060059,99.38999939
13-Apr-15,51.90999985,60.31999969,1199.300049,2092.429932,99.48999786
